,track_id,start,duration,confidence
1218,028pJgI2yCyGrhOfStge8l,37.6054,0.41897,0.744
1219,028pJgI2yCyGrhOfStge8l,38.02437,0.42124,0.619
1220,028pJgI2yCyGrhOfStge8l,38.44561,0.4222,0.356
1221,028pJgI2yCyGrhOfStge8l,38.8678,0.42092,0.336
1222,028pJgI2yCyGrhOfStge8l,39.28872,0.41834,0.389
1223,028pJgI2yCyGrhOfStge8l,39.70707,0.41837,0.505
1224,028pJgI2yCyGrhOfStge8l,40.12544,0.41932,0.563
1225,028pJgI2yCyGrhOfStge8l,40.54475,0.41672,0.681
1226,028pJgI2yCyGrhOfStge8l,40.96147,0.41449,0.744
1227,028pJgI2yCyGrhOfStge8l,41.37597,0.41432,0.683
1228,028pJgI2yCyGrhOfStge8l,41.79028,0.41507,0.63
1229,028pJgI2yCyGrhOfStge8l,42.20535,0.41452,0.685
1230,028pJgI2yCyGrhOfStge8l,42.61988,0.41417,0.54
1231,028pJgI2yCyGrhOfStge8l,43.03404,0.41474,0.456
1232,028pJgI2yCyGrhOfStge8l,43.44879,0.41495,0.34
1233,028pJgI2yCyGrhOfStge8l,43.86373,0.41646,0.522
1234,028pJgI2yCyGrhOfStge8l,44.28019,0.41816,0.535
1235,028pJgI2yCyGrhOfStge8l,44.69835,0.41835,0.585
1236,028pJgI2yCyGrhOfStge8l,45.1167,0.41874,0.735
1237,028pJgI2yCyGrhOfStge8l,45.53544,0.41669,0.704
1238,028pJgI2yCyGrhOfStge8l,45.95213,0.41464,0.816
1239,028pJgI2yCyGrhOfStge8l,46.36677,0.41707,0.8
1240,028pJgI2yCyGrhOfStge8l,46.78384,0.41745,0.766
1241,028pJgI2yCyGrhOfStge8l,47.20129,0.41578,0.743
1242,028pJgI2yCyGrhOfStge8l,47.61706,0.41709,0.734
1243,028pJgI2yCyGrhOfStge8l,48.03415,0.41952,0.748
1244,028pJgI2yCyGrhOfStge8l,48.45367,0.41989,0.749
1245,028pJgI2yCyGrhOfStge8l,48.87356,0.41896,0.764
1246,028pJgI2yCyGrhOfStge8l,49.29252,0.4171,0.619
1247,028pJgI2yCyGrhOfStge8l,49.70962,0.41542,0.59
1248,028pJgI2yCyGrhOfStge8l,50.12504,0.41542,0.502
1249,028pJgI2yCyGrhOfStge8l,50.54045,0.41617,0.578
1250,028pJgI2yCyGrhOfStge8l,50.95662,0.41599,0.521
1251,028pJgI2yCyGrhOfStge8l,51.37261,0.41637,0.477
1252,028pJgI2yCyGrhOfStge8l,51.78897,0.41749,0.608
1253,028pJgI2yCyGrhOfStge8l,52.20647,0.41676,0.521
1254,028pJgI2yCyGrhOfStge8l,52.62323,0.41732,0.69
1255,028pJgI2yCyGrhOfStge8l,53.04055,0.41863,0.677
1256,028pJgI2yCyGrhOfStge8l,53.45918,0.41509,0.637
1257,028pJgI2yCyGrhOfStge8l,53.87428,0.41248,0.769
1258,028pJgI2yCyGrhOfStge8l,54.28676,0.41472,0.704
